departement,Annee,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP,nb_borne,cumsum_borne,nb_el/borne,borne/nb_el
Somme,2023,10941,13,595460,207,342,31.99,0.03
Somme,2024,11117,14,576245,712,1054,10.55,0.09
Tarn,2020,1718,15,343122,14,363,4.73,0.21
Tarn,2021,3565,16,397171,96,459,7.77,0.13
Tarn,2022,4452,15,343541,413,872,5.11,0.2
Tarn,2023,6407,17,353046,200,1072,5.98,0.17
Tarn,2024,8227,19,353174,180,1252,6.57,0.15
Tarn-et-Garonne,2020,1245,7,257333,4,25,49.8,0.02
Tarn-et-Garonne,2021,2249,8,269316,16,41,54.85,0.02
Tarn-et-Garonne,2022,3382,9,268660,72,113,29.93,0.03
Tarn-et-Garonne,2023,4846,8,273819,144,257,18.86,0.05
Tarn-et-Garonne,2024,6288,9,276792,339,596,10.55,0.09
Territoire de Belfort,2020,645,6,139546,5,9,71.67,0.01
Territoire de Belfort,2021,1144,5,141009,2,11,104.0,0.01
Territoire de Belfort,2022,1701,5,143914,5,16,106.31,0.01
Territoire de Belfort,2023,2542,4,145521,74,90,28.24,0.04
Territoire de Belfort,2024,3173,3,148835,200,290,10.94,0.09
Val-d'Oise,2020,6134,26,1030021,18,18,340.78,0.0
Val-d'Oise,2021,10607,44,1040367,98,116,91.44,0.01
Val-d'Oise,2022,15158,51,1080051,258,374,40.53,0.02
Val-d'Oise,2023,21951,57,1100583,545,919,23.89,0.04
Val-d'Oise,2024,30680,63,1101897,733,1652,18.57,0.05
Val-de-Marne,2020,6447,67,988269,102,146,44.16,0.02
Val-de-Marne,2021,11552,72,1001063,239,385,30.01,0.03
Val-de-Marne,2022,16601,71,1007589,348,733,22.65,0.04
Val-de-Marne,2023,24425,69,1025073,467,1200,20.35,0.05
Val-de-Marne,2024,31571,70,1044243,744,1944,16.24,0.06
Var,2020,6865,10,1150467,359,443,15.5,0.06
Var,2021,12940,15,1177323,213,656,19.73,0.05
Var,2022,18606,19,1148010,265,921,20.2,0.05
Var,2023,27917,23,1208509,492,1413,19.76,0.05
Var,2024,34223,32,1185442,673,2086,16.41,0.06
Vaucluse,2020,3548,21,598859,63,117,30.32,0.03
Vaucluse,2021,6252,24,611174,78,195,32.06,0.03
